id,timestamp,datetime,device_id,package_name,app_name,uid,bytes_rx,bytes_tx,bytes_total,network_type,is_system_app
36421,1779613981851,2026-05-24T17:13:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,24481044,6120261,30601305,WIFI,0
94819,1779618301851,2026-05-24T18:25:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,21703739,5425934,27129674,WIFI,0
48729,1779622621851,2026-05-24T19:37:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,25019286,6254821,31274107,MOBILE,0
87508,1779626941851,2026-05-24T20:49:01.851619,device-uuid-tester-101,com.tencent.ig,PUBG Mobile,10352,28323056,7080764,35403820,MOBILE,0
97772,1779631261851,2026-05-24T22:01:01.851619,device-uuid-tester-101,com.chrome.android,Chrome,10080,7743858,1935964,9679822,WIFI,0
37449,1779635581851,2026-05-24T23:13:01.851619,device-uuid-tester-101,com.tencent.ig,PUBG Mobile,10352,36401443,9100360,45501804,WIFI,0
72715,1779639901851,2026-05-25T00:25:01.851619,device-uuid-tester-101,com.instagram.android,Instagram,10246,13881684,3470421,17352105,MOBILE,0
71593,1779644221851,2026-05-25T01:37:01.851619,device-uuid-tester-101,com.spotify.music,Spotify,10299,14843825,3710956,18554781,WIFI,0
16582,1779648541851,2026-05-25T02:49:01.851619,device-uuid-tester-101,com.instagram.android,Instagram,10246,36805314,9201328,46006642,WIFI,0
82075,1779652861851,2026-05-25T04:01:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,4257681,1064420,5322102,WIFI,0
82950,1779657181851,2026-05-25T05:13:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,7129071,1782267,8911339,WIFI,0
64393,1779661501851,2026-05-25T06:25:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,21241713,5310428,26552142,MOBILE,0
53554,1779665821851,2026-05-25T07:37:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,22188313,5547078,27735391,WIFI,0
10616,1779670141851,2026-05-25T08:49:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,5686174,1421543,7107718,MOBILE,0
63686,1779674461851,2026-05-25T10:01:01.851619,device-uuid-tester-101,com.tencent.ig,PUBG Mobile,10352,33967377,8491844,42459221,MOBILE,0
90324,1779678781851,2026-05-25T11:13:01.851619,device-uuid-tester-101,com.chrome.android,Chrome,10080,16624828,4156207,20781035,MOBILE,0
56286,1779683101851,2026-05-25T12:25:01.851619,device-uuid-tester-101,com.chrome.android,Chrome,10080,36452095,9113023,45565119,WIFI,0
40710,1779687421851,2026-05-25T13:37:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,17983293,4495823,22479116,MOBILE,0
97930,1779691741851,2026-05-25T14:49:01.851619,device-uuid-tester-101,com.tencent.ig,PUBG Mobile,10352,4728027,1182006,5910034,WIFI,0
73435,1779696061851,2026-05-25T16:01:01.851619,device-uuid-tester-101,com.spotify.music,Spotify,10299,16510788,4127697,20638485,MOBILE,0
29010,1779700381851,2026-05-25T17:13:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,21158395,5289598,26447994,WIFI,0
18732,1779704701851,2026-05-25T18:25:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,34385655,8596413,42982069,WIFI,0
85287,1779709021851,2026-05-25T19:37:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,706820,176705,883525,MOBILE,0
84649,1779713341851,2026-05-25T20:49:01.851619,device-uuid-tester-101,com.tencent.ig,PUBG Mobile,10352,6568587,1642146,8210734,WIFI,0
61211,1779717661851,2026-05-25T22:01:01.851619,device-uuid-tester-101,com.spotify.music,Spotify,10299,8794029,2198507,10992536,WIFI,0
81999,1779721981851,2026-05-25T23:13:01.851619,device-uuid-tester-101,com.instagram.android,Instagram,10246,29703312,7425828,37129141,MOBILE,0
28703,1779726301851,2026-05-26T00:25:01.851619,device-uuid-tester-101,com.tencent.ig,PUBG Mobile,10352,36803070,9200767,46003837,WIFI,0
81873,1779730621851,2026-05-26T01:37:01.851619,device-uuid-tester-101,com.chrome.android,Chrome,10080,7786714,1946678,9733393,WIFI,0
16661,1779734941851,2026-05-26T02:49:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,20540265,5135066,25675331,WIFI,0
73783,1779739261851,2026-05-26T04:01:01.851619,device-uuid-tester-101,com.instagram.android,Instagram,10246,10854348,2713587,13567935,WIFI,0
47454,1779743581851,2026-05-26T05:13:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,15354471,3838617,19193089,WIFI,0
12652,1779747901851,2026-05-26T06:25:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,1640040,410010,2050050,WIFI,0
14304,1779752221851,2026-05-26T07:37:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,4612129,1153032,5765161,WIFI,0
54820,1779756541851,2026-05-26T08:49:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,3800701,950175,4750876,MOBILE,0
53783,1779760861851,2026-05-26T10:01:01.851619,device-uuid-tester-101,com.tencent.ig,PUBG Mobile,10352,17686071,4421517,22107589,WIFI,0
55824,1779765181851,2026-05-26T11:13:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,1205728,301432,1507160,MOBILE,0
97139,1779769501851,2026-05-26T12:25:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,7656449,1914112,9570562,MOBILE,0
28788,1779773821851,2026-05-26T13:37:01.851619,device-uuid-tester-101,com.instagram.android,Instagram,10246,23521319,5880329,29401649,WIFI,0
19726,1779778141851,2026-05-26T14:49:01.851619,device-uuid-tester-101,com.instagram.android,Instagram,10246,10182341,2545585,12727926,MOBILE,0
23660,1779782461851,2026-05-26T16:01:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,22307346,5576836,27884182,WIFI,0
93770,1779786781851,2026-05-26T17:13:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,10826397,2706599,13532997,MOBILE,0
70310,1779791101851,2026-05-26T18:25:01.851619,device-uuid-tester-101,com.facebook.katana,Facebook,10245,4062043,1015510,5077554,MOBILE,0
88118,1779795421851,2026-05-26T19:37:01.851619,device-uuid-tester-101,com.google.android.youtube,YouTube,10101,17096910,4274227,21371138,WIFI,0
49663,1779799741851,2026-05-26T20:49:01.851619,device-uuid-tester-101,com.spotify.music,Spotify,10299,37494143,9373535,46867679,WIFI,0
