id,timestamp,datetime,hour,minute,day_of_week,is_weekend,time_period,bytes_rx,bytes_tx,bytes_total,mb_used,cumulative_mb_today,network_type,screen_on,battery_level,device_id,signal_strength,is_charging,device_model
3064,1779615686726,2026-05-24T17:41:26.726009,17,41,7,1,Afternoon,21218641,3744466,24963107,23.81,23.81,WIFI,1,100,device-uuid-tester-102,-95,1,Tester Simulator Phone
1154,1779624326726,2026-05-24T20:05:26.726009,20,5,7,1,Evening,6078767,1072723,7151490,6.82,30.63,5G,1,96,device-uuid-tester-102,-94,0,Tester Simulator Phone
7850,1779632966726,2026-05-24T22:29:26.726009,22,29,7,1,Evening,65409507,11542854,76952361,73.39,104.01,LTE,1,92,device-uuid-tester-102,-83,0,Tester Simulator Phone
1273,1779641606726,2026-05-25T00:53:26.726009,0,53,1,0,Night,22956792,4051198,27007991,25.76,25.76,WIFI,1,88,device-uuid-tester-102,-83,0,Tester Simulator Phone
9062,1779650246726,2026-05-25T03:17:26.726009,3,17,1,0,Night,28363699,5005358,33369058,31.82,57.58,5G,1,84,device-uuid-tester-102,-68,0,Tester Simulator Phone
8675,1779658886726,2026-05-25T05:41:26.726009,5,41,1,0,Night,55374053,9771891,65145945,62.13,119.71,WIFI,1,80,device-uuid-tester-102,-67,0,Tester Simulator Phone
4375,1779667526726,2026-05-25T08:05:26.726009,8,5,1,0,Morning,5784773,1020842,6805616,6.49,126.2,LTE,0,76,device-uuid-tester-102,-69,0,Tester Simulator Phone
1538,1779676166726,2026-05-25T10:29:26.726009,10,29,1,0,Morning,48676381,8589949,57266330,54.61,180.81,LTE,1,72,device-uuid-tester-102,-71,0,Tester Simulator Phone
5191,1779684806726,2026-05-25T12:53:26.726009,12,53,1,0,Afternoon,48440437,8548312,56988750,54.35,235.16,LTE,1,68,device-uuid-tester-102,-85,1,Tester Simulator Phone
1236,1779693446726,2026-05-25T15:17:26.726009,15,17,1,0,Afternoon,16647117,2937726,19584843,18.68,253.84,5G,0,64,device-uuid-tester-102,-77,0,Tester Simulator Phone
6356,1779702086726,2026-05-25T17:41:26.726009,17,41,1,0,Afternoon,22410889,3954862,26365751,25.14,278.98,LTE,1,60,device-uuid-tester-102,-97,1,Tester Simulator Phone
6864,1779710726726,2026-05-25T20:05:26.726009,20,5,1,0,Evening,66099290,11664580,77763870,74.16,353.14,WIFI,0,56,device-uuid-tester-102,-98,1,Tester Simulator Phone
3178,1779719366726,2026-05-25T22:29:26.726009,22,29,1,0,Evening,30873827,5448322,36322149,34.64,387.78,LTE,0,52,device-uuid-tester-102,-102,1,Tester Simulator Phone
3096,1779728006726,2026-05-26T00:53:26.726009,0,53,2,0,Night,66266515,11694091,77960606,74.35,74.35,LTE,1,48,device-uuid-tester-102,-66,0,Tester Simulator Phone
3542,1779736646726,2026-05-26T03:17:26.726009,3,17,2,0,Night,51029126,9005139,60034266,57.25,131.6,WIFI,0,44,device-uuid-tester-102,-71,0,Tester Simulator Phone
1750,1779745286726,2026-05-26T05:41:26.726009,5,41,2,0,Night,1928017,340238,2268255,2.16,133.77,LTE,0,40,device-uuid-tester-102,-71,0,Tester Simulator Phone
5821,1779753926726,2026-05-26T08:05:26.726009,8,5,2,0,Morning,15445709,2725713,18171423,17.33,151.09,5G,1,36,device-uuid-tester-102,-99,0,Tester Simulator Phone
2088,1779762566726,2026-05-26T10:29:26.726009,10,29,2,0,Morning,41860209,7387095,49247305,46.97,198.06,WIFI,1,32,device-uuid-tester-102,-94,0,Tester Simulator Phone
9916,1779771206726,2026-05-26T12:53:26.726009,12,53,2,0,Afternoon,45329733,7999364,53329098,50.86,248.92,WIFI,1,28,device-uuid-tester-102,-95,1,Tester Simulator Phone
