id,timestamp,datetime,hour,minute,day_of_week,is_weekend,time_period,bytes_rx,bytes_tx,bytes_total,mb_used,cumulative_mb_today,network_type,screen_on,battery_level
1,1774972800000,2026-04-01T00:00:00,0,30,3,0,Night,0,0,0,0.0,0.0,CELLULAR,0.011,95.0
2,1774976400000,2026-04-01T01:00:00,1,50,3,0,Night,0,0,0,0.0,0.0,CELLULAR,0.013,100.0
3,1774980000000,2026-04-01T02:00:00,2,35,3,0,Night,2917316,535015,3452331,3.2924,3.2924,CELLULAR,0.082,100.0
4,1774983600000,2026-04-01T03:00:00,3,54,3,0,Night,2831691,506555,3338246,3.1836,6.476,CELLULAR,0.062,100.0
5,1774987200000,2026-04-01T04:00:00,4,1,3,0,Night,2705436,402648,3108084,2.9641,9.4401,CELLULAR,0.019,100.0
6,1774990800000,2026-04-01T05:00:00,5,55,3,0,Night,14108603,2476409,16585012,15.8167,25.2568,CELLULAR,0.025,100.0
7,1774994400000,2026-04-01T06:00:00,6,7,3,0,Morning,31668290,4255818,35924108,34.2599,59.5167,CELLULAR,0.266,100.0
8,1774998000000,2026-04-01T07:00:00,7,39,3,0,Morning,45911501,9938487,55849988,53.2627,112.7794,CELLULAR,0.39,90.2
9,1775001600000,2026-04-01T08:00:00,8,11,3,0,Morning,48911365,15814610,64725975,61.7275,174.5069,CELLULAR,0.417,83.4
10,1775005200000,2026-04-01T09:00:00,9,26,3,0,Morning,66842858,9920874,76763732,73.2076,247.7145,CELLULAR,0.555,73.5
11,1775008800000,2026-04-01T10:00:00,10,20,3,0,Morning,43233693,10604917,53838610,51.3445,299.059,CELLULAR,0.516,64.9
12,1775012400000,2026-04-01T11:00:00,11,21,3,0,Morning,37460660,4859972,42320632,40.3601,339.4191,CELLULAR,0.3,57.9
13,1775016000000,2026-04-01T12:00:00,12,43,3,0,Afternoon,58472321,16078811,74551132,71.0975,410.5166,CELLULAR,0.569,49.8
14,1775019600000,2026-04-01T13:00:00,13,41,3,0,Afternoon,25776806,4161192,29937998,28.5511,439.0677,CELLULAR,0.22,43.8
15,1775023200000,2026-04-01T14:00:00,14,17,3,0,Afternoon,37824680,12021582,49846262,47.5371,486.6048,CELLULAR,0.511,35.1
16,1775026800000,2026-04-01T15:00:00,15,13,3,0,Afternoon,59108914,18567079,77675993,74.0776,560.6824,CELLULAR,0.527,28.2
17,1775030400000,2026-04-01T16:00:00,16,19,3,0,Afternoon,57610637,7430435,65041072,62.028,622.7104,CELLULAR,0.455,20.2
18,1775034000000,2026-04-01T17:00:00,17,47,3,0,Afternoon,38137218,11927881,50065099,47.7458,670.4562,CELLULAR,0.495,9.5
19,1775037600000,2026-04-01T18:00:00,18,55,3,0,Evening,120077311,36347683,156424994,149.1785,819.6347,CELLULAR,0.613,3.0
20,1775041200000,2026-04-01T19:00:00,19,41,3,0,Evening,180323276,58183409,238506685,227.4577,1047.0924,CELLULAR,0.622,3.0
21,1775044800000,2026-04-01T20:00:00,20,15,3,0,Evening,169068855,26513742,195582597,186.5221,1233.6145,CELLULAR,0.631,3.0
22,1775048400000,2026-04-01T21:00:00,21,28,3,0,Evening,139006176,27737645,166743821,159.0193,1392.6338,CELLULAR,0.64,3.0
23,1775052000000,2026-04-01T22:00:00,22,23,3,0,Evening,128784056,38249801,167033857,159.2959,1551.9297,CELLULAR,0.841,20.0
24,1775055600000,2026-04-01T23:00:00,23,38,3,0,Evening,76349863,21654978,98004841,93.4647,1645.3944,CELLULAR,0.789,42.6
25,1775059200000,2026-04-02T00:00:00,0,51,4,0,Night,0,0,0,0.0,0.0,CELLULAR,0.041,99.0
26,1775062800000,2026-04-02T01:00:00,1,34,4,0,Night,3569118,1068733,4637851,4.423,4.423,CELLULAR,0.041,100.0
27,1775066400000,2026-04-02T02:00:00,2,36,4,0,Night,12142516,3755049,15897565,15.1611,19.5841,CELLULAR,0.073,100.0
28,1775070000000,2026-04-02T03:00:00,3,6,4,0,Night,15379047,2780611,18159658,17.3184,36.9025,CELLULAR,0.034,100.0
29,1775073600000,2026-04-02T04:00:00,4,3,4,0,Night,129541,37497,167038,0.1593,37.0618,CELLULAR,0.057,100.0
30,1775077200000,2026-04-02T05:00:00,5,8,4,0,Night,16803957,2820142,19624099,18.715,55.7768,CELLULAR,0.091,100.0
31,1775080800000,2026-04-02T06:00:00,6,40,4,0,Morning,31092396,8545873,39638269,37.802,93.5788,CELLULAR,0.367,100.0
32,1775084400000,2026-04-02T07:00:00,7,24,4,0,Morning,55583689,16553935,72137624,68.7958,162.3746,CELLULAR,0.58,87.7
33,1775088000000,2026-04-02T08:00:00,8,40,4,0,Morning,71064187,14863155,85927342,81.9467,244.3213,CELLULAR,0.565,75.0
34,1775091600000,2026-04-02T09:00:00,9,55,4,0,Morning,65851319,12115654,77966973,74.3551,318.6764,CELLULAR,0.537,66.1
35,1775095200000,2026-04-02T10:00:00,10,36,4,0,Morning,37458837,7080686,44539523,42.4762,361.1526,CELLULAR,0.443,58.4
36,1775098800000,2026-04-02T11:00:00,11,50,4,0,Morning,36717866,6660779,43378645,41.3691,402.5217,CELLULAR,0.384,48.7
37,1775102400000,2026-04-02T12:00:00,12,8,4,0,Afternoon,30523579,3767267,34290846,32.7023,435.224,CELLULAR,0.203,43.9
38,1775106000000,2026-04-02T13:00:00,13,13,4,0,Afternoon,25629137,5630171,31259308,29.8112,465.0352,CELLULAR,0.288,38.1
39,1775109600000,2026-04-02T14:00:00,14,9,4,0,Afternoon,45586335,11334250,56920585,54.2837,519.3189,CELLULAR,0.466,28.6
40,1775113200000,2026-04-02T15:00:00,15,43,4,0,Afternoon,31409595,3492676,34902271,33.2854,552.6043,CELLULAR,0.261,24.5
41,1775116800000,2026-04-02T16:00:00,16,15,4,0,Afternoon,49196247,9994085,59190332,56.4483,609.0526,CELLULAR,0.592,13.3
42,1775120400000,2026-04-02T17:00:00,17,54,4,0,Afternoon,36044138,8000562,44044700,42.0043,651.0569,CELLULAR,0.284,9.0
43,1775124000000,2026-04-02T18:00:00,18,3,4,0,Evening,160849721,29537811,190387532,181.5677,832.6246,CELLULAR,0.56,3.0
44,1775127600000,2026-04-02T19:00:00,19,32,4,0,Evening,159747387,20975525,180722912,172.3508,1004.9754,CELLULAR,0.687,3.0
45,1775131200000,2026-04-02T20:00:00,20,5,4,0,Evening,152579762,27702329,180282091,171.9304,1176.9058,CELLULAR,0.589,3.0
46,1775134800000,2026-04-02T21:00:00,21,0,4,0,Evening,147397591,29882531,177280122,169.0675,1345.9733,CELLULAR,0.519,3.0
47,1775138400000,2026-04-02T22:00:00,22,0,4,0,Evening,111479995,29183749,140663744,134.1474,1480.1207,CELLULAR,0.504,22.5
48,1775142000000,2026-04-02T23:00:00,23,52,4,0,Evening,61807247,16736443,78543690,74.9051,1555.0258,CELLULAR,0.72,39.4
49,1775145600000,2026-04-03T00:00:00,0,18,5,0,Night,0,0,0,0.0,0.0,CELLULAR,0.017,95.0
50,1775149200000,2026-04-03T01:00:00,1,57,5,0,Night,0,0,0,0.0,0.0,CELLULAR,0.041,100.0
51,1775152800000,2026-04-03T02:00:00,2,32,5,0,Night,0,0,0,0.0,0.0,CELLULAR,0.019,100.0
52,1775156400000,2026-04-03T03:00:00,3,31,5,0,Night,12258594,2799271,15057865,14.3603,14.3603,CELLULAR,0.038,100.0
53,1775160000000,2026-04-03T04:00:00,4,2,5,0,Night,0,0,0,0.0,14.3603,CELLULAR,0.075,100.0
54,1775163600000,2026-04-03T05:00:00,5,38,5,0,Night,926353,278041,1204394,1.1486,15.5089,CELLULAR,0.092,100.0
55,1775167200000,2026-04-03T06:00:00,6,52,5,0,Morning,19143633,5304231,24447864,23.3153,38.8242,CELLULAR,0.244,100.0
56,1775170800000,2026-04-03T07:00:00,7,32,5,0,Morning,24987684,6136043,31123727,29.6819,68.5061,CELLULAR,0.318,92.2
57,1775174400000,2026-04-03T08:00:00,8,23,5,0,Morning,39088297,11223008,50311305,47.9806,116.4867,CELLULAR,0.409,83.7
58,1775178000000,2026-04-03T09:00:00,9,40,5,0,Morning,31787871,3771543,35559414,33.9121,150.3988,CELLULAR,0.311,78.3
59,1775181600000,2026-04-03T10:00:00,10,38,5,0,Morning,30834790,8424629,39259419,37.4407,187.8395,CELLULAR,0.432,70.9
60,1775185200000,2026-04-03T11:00:00,11,13,5,0,Morning,27130842,8664396,35795238,34.137,221.9765,CELLULAR,0.216,65.3
61,1775188800000,2026-04-03T12:00:00,12,29,5,0,Afternoon,32378722,8635489,41014211,39.1142,261.0907,CELLULAR,0.245,59.9
62,1775192400000,2026-04-03T13:00:00,13,3,5,0,Afternoon,45290403,10523724,55814127,53.2285,314.3192,CELLULAR,0.524,49.5
63,1775196000000,2026-04-03T14:00:00,14,7,5,0,Afternoon,24297379,3737244,28034623,26.7359,341.0551,CELLULAR,0.321,44.1
64,1775199600000,2026-04-03T15:00:00,15,1,5,0,Afternoon,44629829,5007137,49636966,47.3375,388.3926,CELLULAR,0.317,38.5
65,1775203200000,2026-04-03T16:00:00,16,21,5,0,Afternoon,41572560,4977503,46550063,44.3936,432.7862,CELLULAR,0.365,30.5
66,1775206800000,2026-04-03T17:00:00,17,7,5,0,Afternoon,65910297,10432956,76343253,72.8066,505.5928,CELLULAR,0.544,19.2
67,1775210400000,2026-04-03T18:00:00,18,43,5,0,Evening,114971343,20752559,135723902,129.4364,635.0292,CELLULAR,0.727,8.3
68,1775214000000,2026-04-03T19:00:00,19,52,5,0,Evening,140779458,28581818,169361276,161.5155,796.5447,CELLULAR,0.702,3.0
69,1775217600000,2026-04-03T20:00:00,20,7,5,0,Evening,96507387,29619109,126126496,120.2836,916.8283,CELLULAR,0.615,3.0
70,1775221200000,2026-04-03T21:00:00,21,12,5,0,Evening,165238871,44535049,209773920,200.056,1116.8843,CELLULAR,0.587,3.0
71,1775224800000,2026-04-03T22:00:00,22,6,5,0,Evening,216813165,35569116,252382281,240.6905,1357.5748,CELLULAR,0.768,25.3
72,1775228400000,2026-04-03T23:00:00,23,0,5,0,Evening,48565501,12493498,61058999,58.2304,1415.8052,CELLULAR,0.515,50.3
73,1775232000000,2026-04-04T00:00:00,0,46,6,1,Night,32788061,10606837,43394898,41.3846,41.3846,CELLULAR,0.229,100.0
74,1775235600000,2026-04-04T01:00:00,1,10,6,1,Night,45998903,9678280,55677183,53.0979,94.4825,CELLULAR,0.293,100.0
75,1775239200000,2026-04-04T02:00:00,2,57,6,1,Night,47192919,5591138,52784057,50.3388,144.8213,CELLULAR,0.155,100.0
76,1775242800000,2026-04-04T03:00:00,3,39,6,1,Night,29987964,4159332,34147296,32.5654,177.3867,CELLULAR,0.161,100.0
77,1775246400000,2026-04-04T04:00:00,4,38,6,1,Night,40999405,4797151,45796556,43.675,221.0617,CELLULAR,0.116,100.0
78,1775250000000,2026-04-04T05:00:00,5,44,6,1,Night,35323433,10586579,45910012,43.7832,264.8449,CELLULAR,0.128,100.0
79,1775253600000,2026-04-04T06:00:00,6,38,6,1,Morning,99959167,18769206,118728373,113.2282,378.0731,CELLULAR,0.638,100.0
80,1775257200000,2026-04-04T07:00:00,7,10,6,1,Morning,77167459,18572248,95739707,91.3045,469.3776,CELLULAR,0.752,85.9
81,1775260800000,2026-04-04T08:00:00,8,23,6,1,Morning,104790038,18330505,123120543,117.4169,586.7945,CELLULAR,0.749,73.8
82,1775264400000,2026-04-04T09:00:00,9,51,6,1,Morning,57041701,11274703,68316404,65.1516,651.9461,CELLULAR,0.541,63.1
83,1775268000000,2026-04-04T10:00:00,10,2,6,1,Morning,89079280,27787136,116866416,111.4525,763.3986,CELLULAR,0.729,54.2
84,1775271600000,2026-04-04T11:00:00,11,6,6,1,Morning,76246507,16368443,92614950,88.3245,851.7231,CELLULAR,0.629,44.6
85,1775275200000,2026-04-04T12:00:00,12,19,6,1,Afternoon,87935611,26630334,114565945,109.2586,960.9817,CELLULAR,0.649,32.8
86,1775278800000,2026-04-04T13:00:00,13,26,6,1,Afternoon,83911307,14113352,98024659,93.4836,1054.4653,CELLULAR,0.556,23.2
87,1775282400000,2026-04-04T14:00:00,14,2,6,1,Afternoon,75423060,20770680,96193740,91.7375,1146.2028,CELLULAR,0.562,15.5
88,1775286000000,2026-04-04T15:00:00,15,38,6,1,Afternoon,76825671,16890494,93716165,89.3747,1235.5775,CELLULAR,0.612,3.8
89,1775289600000,2026-04-04T16:00:00,16,37,6,1,Afternoon,62290919,7006742,69297661,66.0874,1301.6649,CELLULAR,0.496,3.0
90,1775293200000,2026-04-04T17:00:00,17,9,6,1,Afternoon,82852053,17227605,100079658,95.4434,1397.1083,CELLULAR,0.583,3.0
91,1775296800000,2026-04-04T18:00:00,18,21,6,1,Evening,174647686,57237136,231884822,221.1426,1618.2509,CELLULAR,0.968,3.0
92,1775300400000,2026-04-04T19:00:00,19,13,6,1,Evening,238913488,58552109,297465597,283.6853,1901.9362,CELLULAR,1.0,3.0
93,1775304000000,2026-04-04T20:00:00,20,47,6,1,Evening,226261107,36132139,262393246,250.2377,2152.1739,CELLULAR,0.915,3.0
94,1775307600000,2026-04-04T21:00:00,21,14,6,1,Evening,116224371,36792751,153017122,145.9285,2298.1024,CELLULAR,0.677,3.0
95,1775311200000,2026-04-04T22:00:00,22,46,6,1,Evening,172645065,54965237,227610302,217.0661,2515.1685,CELLULAR,0.956,23.8
96,1775314800000,2026-04-04T23:00:00,23,59,6,1,Evening,82139722,19793399,101933121,97.211,2612.3795,CELLULAR,0.771,40.0
97,1775318400000,2026-04-05T00:00:00,0,12,7,1,Night,58471055,8944727,67415782,64.2927,64.2927,CELLULAR,0.267,95.0
98,1775322000000,2026-04-05T01:00:00,1,38,7,1,Night,44070688,7252598,51323286,48.9457,113.2384,CELLULAR,0.22,100.0
99,1775325600000,2026-04-05T02:00:00,2,9,7,1,Night,58080204,6837660,64917864,61.9105,175.1489,CELLULAR,0.258,100.0
100,1775329200000,2026-04-05T03:00:00,3,11,7,1,Night,64723744,15893295,80617039,76.8824,252.0313,CELLULAR,0.247,100.0
101,1775332800000,2026-04-05T04:00:00,4,5,7,1,Night,46694763,5312090,52006853,49.5976,301.6289,CELLULAR,0.171,100.0
102,1775336400000,2026-04-05T05:00:00,5,26,7,1,Night,65898255,10931957,76830212,73.271,374.8999,CELLULAR,0.29,100.0
103,1775340000000,2026-04-05T06:00:00,6,53,7,1,Morning,94622281,13763672,108385953,103.3649,478.2648,CELLULAR,0.543,100.0
104,1775343600000,2026-04-05T07:00:00,7,1,7,1,Morning,84645641,17019883,101665524,96.9558,575.2206,CELLULAR,0.691,86.7
105,1775347200000,2026-04-05T08:00:00,8,26,7,1,Morning,83761089,20950758,104711847,99.861,675.0816,CELLULAR,0.673,75.6
106,1775350800000,2026-04-05T09:00:00,9,45,7,1,Morning,74366648,20123366,94490014,90.1127,765.1943,CELLULAR,0.44,69.2
107,1775354400000,2026-04-05T10:00:00,10,6,7,1,Morning,88538588,28952255,117490843,112.048,877.2423,CELLULAR,0.734,57.7
108,1775358000000,2026-04-05T11:00:00,11,5,7,1,Morning,89240127,23426637,112666764,107.4474,984.6897,CELLULAR,0.605,47.2
109,1775361600000,2026-04-05T12:00:00,12,16,7,1,Afternoon,78937634,12691236,91628870,87.3841,1072.0738,CELLULAR,0.56,39.0
110,1775365200000,2026-04-05T13:00:00,13,2,7,1,Afternoon,90176417,25579138,115755555,110.3931,1182.4669,CELLULAR,0.598,27.7
111,1775368800000,2026-04-05T14:00:00,14,51,7,1,Afternoon,75404543,12667452,88071995,83.992,1266.4589,CELLULAR,0.448,17.1
112,1775372400000,2026-04-05T15:00:00,15,3,7,1,Afternoon,97484509,15895916,113380425,108.128,1374.5869,CELLULAR,0.511,9.9
113,1775376000000,2026-04-05T16:00:00,16,47,7,1,Afternoon,56878152,18921309,75799461,72.288,1446.8749,CELLULAR,0.384,4.3
114,1775379600000,2026-04-05T17:00:00,17,18,7,1,Afternoon,54369065,15892237,70261302,67.0064,1513.8813,CELLULAR,0.56,3.0
115,1775383200000,2026-04-05T18:00:00,18,49,7,1,Evening,186437523,61839688,248277211,236.7756,1750.6569,CELLULAR,0.911,3.0
116,1775386800000,2026-04-05T19:00:00,19,32,7,1,Evening,155037420,26034773,181072193,172.6839,1923.3408,CELLULAR,0.797,3.0
117,1775390400000,2026-04-05T20:00:00,20,53,7,1,Evening,196259043,60290594,256549637,244.6648,2168.0056,CELLULAR,0.75,3.0
118,1775394000000,2026-04-05T21:00:00,21,32,7,1,Evening,244441181,41121715,285562896,272.334,2440.3396,CELLULAR,0.942,3.0
119,1775397600000,2026-04-05T22:00:00,22,32,7,1,Evening,170510258,44925028,215435286,205.4551,2645.7947,CELLULAR,0.936,18.4
120,1775401200000,2026-04-05T23:00:00,23,19,7,1,Evening,120968928,37636895,158605823,151.2583,2797.053,CELLULAR,0.842,43.1
121,1775404800000,2026-04-06T00:00:00,0,24,1,0,Night,0,0,0,0.0,0.0,CELLULAR,0.023,95.0
122,1775408400000,2026-04-06T01:00:00,1,53,1,0,Night,9830781,1107229,10938010,10.4313,10.4313,CELLULAR,0.083,100.0
123,1775412000000,2026-04-06T02:00:00,2,39,1,0,Night,7248527,1491773,8740300,8.3354,18.7667,CELLULAR,0.029,100.0
124,1775415600000,2026-04-06T03:00:00,3,18,1,0,Night,7723296,2250024,9973320,9.5113,28.278,CELLULAR,0.022,100.0
125,1775419200000,2026-04-06T04:00:00,4,57,1,0,Night,2253808,543163,2796971,2.6674,30.9454,CELLULAR,0.068,100.0
126,1775422800000,2026-04-06T05:00:00,5,26,1,0,Night,19488284,5885892,25374176,24.1987,55.1441,CELLULAR,0.084,100.0
127,1775426400000,2026-04-06T06:00:00,6,16,1,0,Morning,55860337,9649972,65510309,62.4755,117.6196,CELLULAR,0.581,100.0
128,1775430000000,2026-04-06T07:00:00,7,46,1,0,Morning,51277813,16202037,67479850,64.3538,181.9734,CELLULAR,0.594,91.0
129,1775433600000,2026-04-06T08:00:00,8,41,1,0,Morning,56916289,9923615,66839904,63.7435,245.7169,CELLULAR,0.446,84.1
130,1775437200000,2026-04-06T09:00:00,9,45,1,0,Morning,29748858,4172575,33921433,32.35,278.0669,CELLULAR,0.25,77.7
131,1775440800000,2026-04-06T10:00:00,10,21,1,0,Morning,54405815,7862927,62268742,59.3841,337.451,CELLULAR,0.541,68.6
132,1775444400000,2026-04-06T11:00:00,11,6,1,0,Morning,26354830,4733036,31087866,29.6477,367.0987,CELLULAR,0.349,60.9
133,1775448000000,2026-04-06T12:00:00,12,21,1,0,Afternoon,25731609,5677331,31408940,29.9539,397.0526,CELLULAR,0.275,55.1
134,1775451600000,2026-04-06T13:00:00,13,59,1,0,Afternoon,36988986,6803532,43792518,41.7638,438.8164,CELLULAR,0.251,48.3
135,1775455200000,2026-04-06T14:00:00,14,50,1,0,Afternoon,38459260,9316064,47775324,45.5621,484.3785,CELLULAR,0.346,41.2
136,1775458800000,2026-04-06T15:00:00,15,5,1,0,Afternoon,59182858,15649292,74832150,71.3655,555.744,CELLULAR,0.566,31.4
137,1775462400000,2026-04-06T16:00:00,16,48,1,0,Afternoon,22902172,7403666,30305838,28.9019,584.6459,CELLULAR,0.264,24.5
138,1775466000000,2026-04-06T17:00:00,17,31,1,0,Afternoon,47505145,10469154,57974299,55.2886,639.9345,CELLULAR,0.536,16.5
139,1775469600000,2026-04-06T18:00:00,18,43,1,0,Evening,174850354,21030039,195880393,186.8061,826.7406,CELLULAR,0.544,6.4
140,1775473200000,2026-04-06T19:00:00,19,26,1,0,Evening,135665892,17304674,152970566,145.8841,972.6247,CELLULAR,0.536,3.0
141,1775476800000,2026-04-06T20:00:00,20,36,1,0,Evening,164562928,38552429,203115357,193.7059,1166.3306,CELLULAR,0.509,3.0
142,1775480400000,2026-04-06T21:00:00,21,34,1,0,Evening,126105656,39318113,165423769,157.7604,1324.091,CELLULAR,0.648,3.0
143,1775484000000,2026-04-06T22:00:00,22,20,1,0,Evening,105854527,27999554,133854081,127.6532,1451.7442,CELLULAR,0.644,22.0
144,1775487600000,2026-04-06T23:00:00,23,39,1,0,Evening,51994580,14688981,66683561,63.5944,1515.3386,CELLULAR,0.53,40.1
145,1775491200000,2026-04-07T00:00:00,0,25,2,0,Night,18885388,5435388,24320776,23.1941,23.1941,CELLULAR,0.074,97.0
146,1775494800000,2026-04-07T01:00:00,1,50,2,0,Night,14736665,2274278,17010943,16.2229,39.417,CELLULAR,0.072,100.0
147,1775498400000,2026-04-07T02:00:00,2,50,2,0,Night,17061731,2843806,19905537,18.9834,58.4004,CELLULAR,0.048,100.0
148,1775502000000,2026-04-07T03:00:00,3,4,2,0,Night,10109213,2928676,13037889,12.4339,70.8343,CELLULAR,0.087,100.0
